"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
1,0,1,0,0,0,1,0,0.0217689863981354,0.0255398877440432,0.0219617456631904,0.0230902066017896,0.00212367424705406
1,0,1,0,0,0,1,1,0.0337153368509815,0.0374033922825132,0.0313066462407977,0.0341417917914308,0.00307066376154549
1,0,1,0,0,1,0,0,0.0307491387106567,0.0275628804824646,0.0248023764121089,0.0277047985350767,0.00297592019535139
1,0,1,0,0,1,0,1,0.0325167092601439,0.0343700259755023,0.0246558153341667,0.0305141835232709,0.00515742708054978
1,0,1,0,0,1,1,0,0.0198189997141539,0.0305208974662542,0.020624917063727,0.0236549380813784,0.00595973358462098
1,0,1,0,0,1,1,1,0.0325936805254486,0.0336123551050962,0.0240527386171532,0.030086258082566,0.00524994688824958
1,0,1,0,1,0,0,0,0.0429468911618355,0.0449098613417439,0.0418528771120806,0.04323654320522,0.00154893895127603
1,0,1,0,1,0,0,1,0.0479177216225567,0.0466258650297789,0.040982514754588,0.0451753671356412,0.00368812034525089
1,0,1,0,1,0,1,0,0.0403185616553009,0.0414379006632998,0.0386314705010707,0.0401293109398905,0.00141275420326035
1,0,1,0,1,0,1,1,0.047524076303587,0.048774766273018,0.042592278230199,0.0462970402689346,0.00326879223454956
1,0,1,0,1,1,0,0,0.041686447822203,0.0398746178653966,0.0331040803843186,0.0382217153573061,0.00452364042952724
1,0,1,0,1,1,0,1,0.0498312345537515,0.0491725200088033,0.0398567441745962,0.0462868329123836,0.00557835164674993
1,0,1,0,1,1,1,0,0.0110985430980963,0.0466850800023135,0.0287218697665306,0.0288351642889801,0.017793538966305
1,0,1,0,1,1,1,1,0.0424130000020423,0.0471842860845161,0.0403808251628081,0.0433260370831221,0.00349242002941687
1,0,1,1,0,0,0,0,0.0407920772929334,0.0402352400872259,0.0371673836741852,0.0393982336847815,0.00195193128612363
1,0,1,1,0,0,0,1,0.0380315678693433,0.0401851851388274,0.0408592974365804,0.039692016814917,0.00147696475013394
1,0,1,1,0,0,1,0,0.0376944174226512,0.0392777751004317,0.037475776026743,0.038149322849942,0.000983363806649205
1,0,1,1,0,0,1,1,0.037058448829511,0.0376726064010162,0.0426215579660235,0.0391175377321836,0.00305006815170235
1,0,1,1,0,1,0,0,0.0385765709946925,0.0409739049724122,0.0280733293129496,0.0358746017600181,0.00686160997108006
1,0,1,1,0,1,0,1,0.0389067394029664,0.0399798118567041,0.0361706217373082,0.0383523909989929,0.00196416876977688
1,0,1,1,0,1,1,0,0.0349706262575804,0.040946826837068,0.0304498042454827,0.0354557524467104,0.00526529974328126
1,0,1,1,0,1,1,1,0.0348011257517136,0.0384632140666431,0.0346800816106093,0.0359814738096553,0.00215010207859746
1,0,1,1,1,0,0,0,0.0549785794858867,0.055426206951098,0.0499959825102184,0.0534669229824011,0.0030142434221508
1,0,1,1,1,0,0,1,0.0633961566465241,0.0518018757350543,0.0540461301273547,0.056414720836311,0.00614934987811181
1,0,1,1,1,0,1,0,0.0539057337352174,0.0553069015065375,0.0517873987163652,0.05366667798604,0.00177188761238367
1,0,1,1,1,0,1,1,0.0533703608060324,0.0505131823224344,0.0567278535645645,0.0535371322310104,0.00311069030812802
1,0,1,1,1,1,0,0,0.0535849705942332,0.0491446227637794,0.0408868127372166,0.0478721353650764,0.00644400662440082
1,0,1,1,1,1,0,1,0.0523301314953006,0.0511377345223048,0.0507517859630066,0.051406550660204,0.000822794167349525
1,0,1,1,1,1,1,0,0.00904021896419236,0.0610890556178382,0.0417553346320254,0.0372948697380186,0.0263095450274701
1,0,1,1,1,1,1,1,0.0118580697877382,0.0599792228408931,0.0522564859101615,0.0413645928462642,0.0258434971255405
1,1,0,0,0,0,0,0,0.0346682320213207,0.036861080248952,0.0320783524679361,0.0345358882460696,0.00239410889747334
1,1,0,0,0,0,0,1,0.0428387242519121,0.0425169214265069,0.0392377658193491,0.0415311371659227,0.00199262474253763
1,1,0,0,0,0,1,0,0.0330757578000767,0.0312562529275542,0.0364970820622149,0.0336096975966153,0.00266090046495972
1,1,0,0,0,0,1,1,0.0427582361485208,0.0416015654203717,0.0419106493231318,0.0420901502973414,0.000598863292535053
1,1,0,0,0,1,0,0,0.0342588607761124,0.0345608243391781,0.0249059056467092,0.0312418635873333,0.0054891773306546
1,1,0,0,0,1,0,1,0.0401772553349993,0.0412018194422838,0.0337408467427079,0.0383733071733303,0.00404440355719428
1,1,0,0,0,1,1,0,0.034534215774408,0.0353708989818999,0.0251342586020526,0.0316797911194535,0.00568401325206841
1,1,0,0,0,1,1,1,0.0429047666814447,0.039310101047316,0.0411609372557532,0.0411252683281713,0.00179759824754937
1,1,0,0,1,0,0,0,0.0575864507159918,0.0571349853672719,0.0532721537603472,0.0559978632812036,0.00237130228657995
1,1,0,0,1,0,0,1,0.0615269291600288,0.0602056731065126,0.0553776131174172,0.0590367384613195,0.00323702457536695
1,1,0,0,1,0,1,0,0.0550834113202807,0.0552941504959348,0.0502342296699084,0.053537263828708,0.00286245152634698
1,1,0,0,1,0,1,1,0.0613861582987525,0.0624981631234347,0.0516451843895278,0.0585098352705717,0.00597090549845595
1,1,0,0,1,1,0,0,0.0582851984019304,0.0537514207469273,0.0436180719044983,0.0518848970177853,0.00750959939321043
1,1,0,0,1,1,0,1,0.0610798385634044,0.0589023460209815,0.0561047917709048,0.0586956587850969,0.00249395516338971
1,1,0,0,1,1,1,0,0.0619973479495996,0.0578789952043409,0.0445976732677904,0.054824672140577,0.00909306531328011
1,1,0,0,1,1,1,1,0.063663750529965,0.0579167725664928,0.0541967158784221,0.0585924129916266,0.00476954439767939
1,1,0,1,0,0,0,0,0.044648822206656,0.0431330280298841,0.0468526977533239,0.044878182663288,0.00187041182020659
1,1,0,1,0,0,0,1,0.0426889210594426,0.0424305539239267,0.0583982610574564,0.0478392453469419,0.00914528829372523
1,1,0,1,0,0,1,0,0.0439195559433704,0.042773730943857,0.0518040418708996,0.046165776252709,0.00491637652324655
1,1,0,1,0,0,1,1,0.041510462066549,0.0496822138645638,0.0600993955067617,0.0504306904792915,0.00931704215635308
1,1,0,1,0,1,0,0,0.039104396916752,0.0396703113850871,0.0405356861301085,0.0397701314773159,0.000720846891633072
1,1,0,1,0,1,0,1,0.0411973792778647,0.047455144367079,0.0508191869480975,0.0464905701976804,0.00488288830580231
1,1,0,1,0,1,1,0,0.0360066441860123,0.0414143176541724,0.0381981196659038,0.0385396938353628,0.00271997017805192
1,1,0,1,0,1,1,1,0.0406399367791164,0.0419262122064131,0.052193395715722,0.0449198482337505,0.00633182405378475
